TimePeriod,Inst g,Avg g,Lengths
1.423,3.41183,0.16693,17.5
1.989,1.74634,0.05695,17.5
40.92,0.00401,0.00401,17.0
1.299,3.97732,0.36607,17.0
1.273,4.14144,0.17703,17.0
1.297,3.98959,0.12109,17.0
19.442,0.01776,0.01776,17.0
1.705,2.30866,0.25201,17.0
1.697,2.33048,0.11707,17.0
40.659,0.00239,0.00239,10.0
1.376,2.08508,0.19114,10.0
1.376,2.08508,0.09504,10.0
1.32,4.30492,0.16579,19.0
1.325,4.27249,0.11552,19.0
1.326,4.26605,0.08889,19.0
1.774,2.38345,0.04112,19.0
16.532,0.02311,0.00131,16.0
1.635,2.36289,0.0311,16.0
1.634,2.36579,0.02751,16.0
14.643,0.03867,0.00066,21.0
1.875,2.35818,0.0224,21.0
12.948,0.02355,0.00054,10.0
1.351,2.16296,0.0173,10.0
12.7475,0.04373,0.04373,18.0
0.642,17.24099,1.523,18.0
0.6595,16.33814,0.7139,18.0
25.894,0.0106,0.0106,18.0
1.302,4.19189,0.34963,18.0
1.297,4.22428,0.18041,18.0
1.293,4.25045,0.12343,18.0
1.38,3.73142,0.08324,18.0
1.385,3.70453,0.0652,18.0
1.392,3.66736,0.0541,18.0
1.397,3.64116,0.04564,18.0
1.406,3.59469,0.03918,18.0
1.411,3.56926,0.03441,18.0
1.42,3.52416,0.03073,18.0
1.779,2.24533,0.0179,18.0
1.205,4.89393,0.03584,18.0
1.165,5.23577,0.03572,18.0
1.776,2.25292,0.01444,18.0
1.772,2.26311,0.01372,18.0
1.773,2.26055,0.01299,18.0
1.775,2.25546,0.01233,18.0
1.772,2.26311,0.01179,18.0
1.766,2.27851,0.01134,18.0
1.77,2.26822,0.0108,18.0
772.35999,1e-05,1e-05,22.0
60.706,0.00236,0.00119,22.0
2.24,1.73096,0.21041,22.0
226.01401,0.0002,0.00938,25.5
72.258,0.00136,0.00136,18.0
2.464,1.17044,0.11248,18.0
3.574,0.55632,0.02722,18.0
2.946,0.81878,0.02599,18.0
3.58,0.55445,0.01321,18.0
3.576,0.5557,0.0109,18.0
3.58,0.55445,0.00924,18.0
2.18,1.49527,0.02117,18.0
3.566,0.55882,0.00707,18.0
35.214,0.00573,0.00015,18.0
25.342,0.01352,0.01352,22.0
1.386,4.52122,0.40934,22.0
31.479,0.00825,0.00626,20.7
6.814,0.17601,0.01246,20.7
1.861,2.35959,0.0656,20.7
1.86,2.36213,0.05252,20.7
1.858,2.36722,0.04385,20.7
2.5,1.30753,0.02186,20.7
8.5345,0.09214,0.09214,17.0
0.838,9.55698,0.9671,17.0
0.6955,13.8744,0.67807,17.0
0.5505,22.14594,0.68463,17.0
43.6245,0.00353,0.00751,17.0
0.6295,16.93625,0.35238,17.0
5.2915,0.23969,0.00756,17.0
14.596,0.0315,0.00307,17.0
14.70014,0.02923,0.02923,16.0
1.1662,4.64448,1.71259,16.0
0.86209,8.49907,0.56754,16.0
1.15347,4.74756,0.19046,16.0
0.86422,8.45739,0.22874,16.0
1.14356,4.83013,0.09806,16.0
1.13578,4.89652,0.08159,16.0
28.03041,0.01141,0.00199,22.7
1.37199,4.76081,0.06265,22.7
1.37412,4.74612,0.05651,22.7
1.37412,4.74612,0.05159,22.7
1.37412,4.74612,0.04747,22.7
1.3727,4.75591,0.04404,22.7
49.91089,0.00285,0.00285,18.0
0.90311,8.71263,0.92756,18.0
58.51131,0.00208,0.00208,18.0
0.98091,7.38547,0.69562,18.0
1.56436,2.90376,0.14741,18.0
10.56577,0.06365,0.01247,18.0
1.24116,4.61293,0.1443,18.0
1.17327,5.16224,0.12566,18.0
42.137,0.00534,0.00534,24.0
1.452,4.49405,0.40843,24.0
1.448,4.51891,0.2156,24.0
0.997,9.53193,0.28449,24.0
17.424,0.02341,0.00413,18.0
1.776,2.25292,0.05009,18.0
1.776,2.25292,0.04174,18.0
1.776,2.25292,0.03577,18.0
1.403,3.61008,0.04894,18.0
1.417,3.5391,0.04178,18.0
1.432,3.46534,0.03586,18.0
31.277,0.01211,0.00034,30.0
8.753,0.15458,0.00166,30.0
20.364,0.02856,0.00028,30.0
40.761,0.00713,7e-05,30.0
1.094,9.8957,0.08496,30.0
1.097,9.84165,0.07967,30.0
5.014,0.4711,0.00388,30.0
42.086,0.00669,0.00032,30.0
1.68,4.19626,0.03021,30.0
1.684,4.17635,0.02901,30.0
11.007,0.09776,0.00085,30.0
10.999,0.0979,0.00104,30.0
39.707,0.00601,0.00601,24.0
1.565,3.8685,0.43851,24.0
1.367,5.0703,0.26309,24.0
19.634,0.02458,0.00751,24.0
1.601,3.69648,0.10952,24.0
35.197,0.00765,0.00179,24.0
1.548,3.95393,0.08273,24.0
1.551,3.93865,0.06815,24.0
1.415,4.73215,0.06843,24.0
1.551,3.93865,0.04936,24.0
1.55,3.94373,0.04364,24.0
131.909,0.00068,0.00025,30.0
2.217,2.40963,0.02231,30.0
5.542,0.38561,0.00357,30.0
23.668,0.02114,0.00023,30.0
8.881,0.15016,0.00141,30.0
189.46899,0.00026,0.0003,24.0
1.491,4.26202,0.03204,24.0
1.48,4.32561,0.02995,24.0
18.531,0.02759,0.00033,24.0
1.549,3.94883,0.02452,24.0
2.069,2.21335,0.01333,24.0
2.065,2.22193,0.01277,24.0
1.552,3.93358,0.02138,24.0
1.612,3.6462,0.01884,24.0
11.323,0.0739,0.00042,24.0
32.144,0.00917,7e-05,24.0
4.97,0.38358,0.00189,24.0
2.032,2.29469,0.01077,24.0
2.031,2.29695,0.01054,24.0
1.16,7.04134,0.03112,24.0
7.918,0.15113,0.00073,24.0
2.036,2.28568,0.00937,24.0
2.031,2.29695,0.00908,24.0
1.615,3.63267,0.01383,24.0
2.026,2.3083,0.00852,24.0
1.413,4.74555,0.01699,24.0
2.039,2.27896,0.00791,24.0
3.046,1.0212,0.00346,24.0
1.537,4.01073,0.01306,24.0
18.956,0.03131,0.00012,28.5
1.092,9.43538,0.02988,28.5
8.419,0.15874,0.00051,28.5
20.939,0.01306,4e-05,14.5
12.369,0.03742,0.00013,14.5
9.936,0.05798,0.00018,14.5
28.572,0.01161,5e-05,24.0
2.047,2.26118,0.0065,24.0
25.61,0.01445,6e-05,24.0
20.81,0.02188,8e-05,24.0
1.414,4.73884,0.01303,24.0
5.037,0.37345,0.00101,24.0
47.863,0.00414,1e-05,24.0
21.78,0.01997,5e-05,24.0
18.6365,0.02046,0.02046,18.0
0.858,9.6529,1.07386,18.0
0.8875,9.02185,0.4963,18.0
7.3495,0.13156,0.0188,18.0
13.51202,0.0519,0.00262,24.0
1.19943,6.58595,0.19193,24.0
1.0396,8.76668,0.20396,24.0
42.996,0.00214,0.00464,10.0
1.384,2.06105,0.03436,10.0
0.612,18.97271,0.28205,18.0
0.89,8.97124,0.11806,18.0
0.655,16.56341,0.19471,18.0
0.8895,8.98132,0.09455,18.0
1.7295,2.3757,0.02352,18.0
12.072,0.04876,0.00122,18.0
0.706,14.25683,0.12195,18.0
1.6545,2.59596,0.0216,18.0
8.4455,0.09963,0.0016,18.0
0.697,14.62739,0.10308,18.0
18.589,0.02285,0.00079,20.0
1.357,4.28776,0.02645,20.0
1.426,3.88285,0.02246,20.0
1.85,2.30699,0.01261,20.0
1.849,2.30949,0.01201,20.0
